COMMENT,kmp_n_45_min_2_max_90_run_ff_0011n_ceil_n_b
SORT_BY,45
90,45
89,45
88,45
87,45
86,45
85,45
84,45
83,45
82,45
81,45
80,45
79,45
78,45
77,45
76,45
75,45
74,45
73,45
72,45
71,45
70,45
69,45
68,45
67,45
66,45
65,45
64,45
63,45
62,45
61,45
60,45
59,45
58,45
57,45
56,45
55,45
54,45
53,45
52,45
51,45
50,45
49,45
48,45
47,45
46,45
45,45
44,45
43,45
42,45
41,45
40,45
39,45
38,45
37,45
36,45
35,45
34,45
33,45
32,45
31,45
30,45
29,45
28,45
27,45
26,45
25,45
24,45
23,45
22,45
21,45
20,45
19,45
18,45
17,45
16,45
15,45
14,46
13,47
12,48
11,49
10,50
9,51
8,52
7,54
6,57
5,60
4,66
3,75
2,94
1,150
